ArrayType,Size,Algorithm,TimeMs,Comparisons
Random,100,Standard_QuickSort,0.0174,6239
Random,100,Standard_MergeSort,0.0607,2938
Random,100,String_QuickSort,0.0102,2139
Random,100,String_MergeSort,0.1619,2073
Random,100,MSD_RadixSort,0.4178,3368
Random,100,MSD_RadixQuickSort,0.0108,1905
Random,200,Standard_QuickSort,0.0178,17092
Random,200,Standard_MergeSort,0.0915,9916
Random,200,String_QuickSort,0.0092,4699
Random,200,String_MergeSort,0.1952,5045
Random,200,MSD_RadixSort,0.2708,7356
Random,200,MSD_RadixQuickSort,0.0212,4283
Random,300,Standard_QuickSort,0.0325,31854
Random,300,Standard_MergeSort,0.123,19638
Random,300,String_QuickSort,0.0144,7822
Random,300,String_MergeSort,0.2914,8626
Random,300,MSD_RadixSort,0.4787,12308
Random,300,MSD_RadixQuickSort,0.0352,7253
Random,400,Standard_QuickSort,0.047,38661
Random,400,Standard_MergeSort,0.2061,24405
Random,400,String_QuickSort,0.0278,9123
Random,400,String_MergeSort,0.4307,10554
Random,400,MSD_RadixSort,0.3343,13596
Random,400,MSD_RadixQuickSort,0.063,8404
Random,500,Standard_QuickSort,0.0702,57514
Random,500,Standard_MergeSort,0.2636,35890
Random,500,String_QuickSort,0.0263,12707
Random,500,String_MergeSort,0.5244,14490
Random,500,MSD_RadixSort,0.437,19256
Random,500,MSD_RadixQuickSort,0.0566,11835
Random,600,Standard_QuickSort,0.0759,63521
Random,600,Standard_MergeSort,0.2793,38101
Random,600,String_QuickSort,0.0433,13786
Random,600,String_MergeSort,0.7253,15781
Random,600,MSD_RadixSort,0.412,19040
Random,600,MSD_RadixQuickSort,0.0731,12324
Random,700,Standard_QuickSort,0.1079,92940
Random,700,Standard_MergeSort,0.3781,59017
Random,700,String_QuickSort,0.0862,18757
Random,700,String_MergeSort,1.0102,21235
Random,700,MSD_RadixSort,0.6015,27652
Random,700,MSD_RadixQuickSort,0.1074,17534
Random,800,Standard_QuickSort,0.118,113911
Random,800,Standard_MergeSort,0.4066,71930
Random,800,String_QuickSort,0.0808,22778
Random,800,String_MergeSort,0.9603,25314
Random,800,MSD_RadixSort,0.6066,32952
Random,800,MSD_RadixQuickSort,0.0999,20670
Random,900,Standard_QuickSort,0.1762,121704
Random,900,Standard_MergeSort,0.536,78366
Random,900,String_QuickSort,0.069,23745
Random,900,String_MergeSort,1.1406,27391
Random,900,MSD_RadixSort,0.7043,34254
Random,900,MSD_RadixQuickSort,0.1285,22034
Random,1000,Standard_QuickSort,0.1664,160984
Random,1000,Standard_MergeSort,0.5257,109264
Random,1000,String_QuickSort,0.0722,31314
Random,1000,String_MergeSort,1.2474,34725
Random,1000,MSD_RadixSort,0.9153,47350
Random,1000,MSD_RadixQuickSort,0.1778,29481
Random,1100,Standard_QuickSort,0.1848,145833
Random,1100,Standard_MergeSort,0.6337,91455
Random,1100,String_QuickSort,0.0693,27932
Random,1100,String_MergeSort,1.3552,31897
Random,1100,MSD_RadixSort,0.7935,38018
Random,1100,MSD_RadixQuickSort,0.1415,25040
Random,1200,Standard_QuickSort,0.2077,177167
Random,1200,Standard_MergeSort,0.6922,112568
Random,1200,String_QuickSort,0.0885,33719
Random,1200,String_MergeSort,1.57,37519
Random,1200,MSD_RadixSort,0.9641,46414
Random,1200,MSD_RadixQuickSort,0.2142,30792
Random,1300,Standard_QuickSort,0.2399,194068
Random,1300,Standard_MergeSort,0.8111,129704
Random,1300,String_QuickSort,0.096,35550
Random,1300,String_MergeSort,1.7668,40992
Random,1300,MSD_RadixSort,1.0292,51444
Random,1300,MSD_RadixQuickSort,0.3591,38811
Random,1400,Standard_QuickSort,0.2287,193238
Random,1400,Standard_MergeSort,0.8245,129887
Random,1400,String_QuickSort,0.0972,36890
Random,1400,String_MergeSort,1.8693,42777
Random,1400,MSD_RadixSort,0.9447,50782
Random,1400,MSD_RadixQuickSort,0.3346,38457
Random,1500,Standard_QuickSort,0.249,206236
Random,1500,Standard_MergeSort,0.8654,140588
Random,1500,String_QuickSort,0.1195,38666
Random,1500,String_MergeSort,1.8344,45514
Random,1500,MSD_RadixSort,0.978,53842
Random,1500,MSD_RadixQuickSort,0.4534,43261
Random,1600,Standard_QuickSort,0.2834,252504
Random,1600,Standard_MergeSort,0.8976,172471
Random,1600,String_QuickSort,0.1204,45101
Random,1600,String_MergeSort,1.996,52677
Random,1600,MSD_RadixSort,1.1197,64956
Random,1600,MSD_RadixQuickSort,0.7197,59741
Random,1700,Standard_QuickSort,0.2852,260420
Random,1700,Standard_MergeSort,0.9484,174743
Random,1700,String_QuickSort,0.1367,47310
Random,1700,String_MergeSort,2.1061,54124
Random,1700,MSD_RadixSort,1.1533,65194
Random,1700,MSD_RadixQuickSort,0.8341,63077
Random,1800,Standard_QuickSort,0.3271,297605
Random,1800,Standard_MergeSort,1.058,197368
Random,1800,String_QuickSort,0.1338,51412
Random,1800,String_MergeSort,2.2176,58988
Random,1800,MSD_RadixSort,1.2584,72266
Random,1800,MSD_RadixQuickSort,0.95,71304
Random,1900,Standard_QuickSort,0.3521,336679
Random,1900,Standard_MergeSort,1.105,220586
Random,1900,String_QuickSort,0.1535,57727
Random,1900,String_MergeSort,2.3774,64132
Random,1900,MSD_RadixSort,1.8971,79836
Random,1900,MSD_RadixQuickSort,1.27,78836
Random,2000,Standard_QuickSort,0.3541,310038
Random,2000,Standard_MergeSort,1.2014,206631
Random,2000,String_QuickSort,0.1497,53667
Random,2000,String_MergeSort,2.4871,62421
Random,2000,MSD_RadixSort,1.3015,73804
Random,2000,MSD_RadixQuickSort,0.9542,72776
Random,2100,Standard_QuickSort,0.4095,367732
Random,2100,Standard_MergeSort,1.2446,241786
Random,2100,String_QuickSort,0.1577,61697
Random,2100,String_MergeSort,2.6428,69684
Random,2100,MSD_RadixSort,1.4434,85654
Random,2100,MSD_RadixQuickSort,1.0653,84575
Random,2200,Standard_QuickSort,0.4073,364330
Random,2200,Standard_MergeSort,1.2774,240246
Random,2200,String_QuickSort,0.1647,60591
Random,2200,String_MergeSort,2.8284,71064
Random,2200,MSD_RadixSort,1.454,84358
Random,2200,MSD_RadixQuickSort,1.0506,83230
Random,2300,Standard_QuickSort,0.4873,426645
Random,2300,Standard_MergeSort,1.5368,280368
Random,2300,String_QuickSort,0.184,68558
Random,2300,String_MergeSort,3.2385,78423
Random,2300,MSD_RadixSort,1.8248,97256
Random,2300,MSD_RadixQuickSort,1.2467,96070
Random,2400,Standard_QuickSort,0.4598,380215
Random,2400,Standard_MergeSort,1.6093,252006
Random,2400,String_QuickSort,0.2113,63259
Random,2400,String_MergeSort,3.374,74674
Random,2400,MSD_RadixSort,1.6119,86602
Random,2400,MSD_RadixQuickSort,1.1454,85374
Random,2500,Standard_QuickSort,0.561,473464
Random,2500,Standard_MergeSort,1.6793,307742
Random,2500,String_QuickSort,0.2258,73611
Random,2500,String_MergeSort,3.4679,85650
Random,2500,MSD_RadixSort,1.846,104796
Random,2500,MSD_RadixQuickSort,1.3247,103469
Random,2600,Standard_QuickSort,0.5845,511181
Random,2600,Standard_MergeSort,1.8033,338477
Random,2600,String_QuickSort,0.2505,79869
Random,2600,String_MergeSort,3.7114,91452
Random,2600,MSD_RadixSort,2.013,114118
Random,2600,MSD_RadixQuickSort,1.4596,112894
Random,2700,Standard_QuickSort,0.5541,454176
Random,2700,Standard_MergeSort,1.7782,317591
Random,2700,String_QuickSort,0.2362,75833
Random,2700,String_MergeSort,4.151,89987
Random,2700,MSD_RadixSort,2.151,106146
Random,2700,MSD_RadixQuickSort,1.5741,104809
Random,2800,Standard_QuickSort,0.5809,531115
Random,2800,Standard_MergeSort,1.8797,356281
Random,2800,String_QuickSort,0.2637,83970
Random,2800,String_MergeSort,3.9878,97477
Random,2800,MSD_RadixSort,2.1009,118310
Random,2800,MSD_RadixQuickSort,1.5307,116870
Random,2900,Standard_QuickSort,0.6256,599205
Random,2900,Standard_MergeSort,1.9856,391445
Random,2900,String_QuickSort,0.2429,92848
Random,2900,String_MergeSort,4.3473,102922
Random,2900,MSD_RadixSort,2.3146,128442
Random,2900,MSD_RadixQuickSort,1.6588,127046
Random,3000,Standard_QuickSort,0.5861,534576
Random,3000,Standard_MergeSort,2.0114,365873
Random,3000,String_QuickSort,0.2641,86626
Random,3000,String_MergeSort,4.4316,101171
Random,3000,MSD_RadixSort,2.1653,119684
Random,3000,MSD_RadixQuickSort,1.6538,118252
Reversed,100,Standard_QuickSort,0.0185,16106
Reversed,100,Standard_MergeSort,0.0287,3134
Reversed,100,String_QuickSort,0.007,3353
Reversed,100,String_MergeSort,0.0823,2219
Reversed,100,MSD_RadixSort,0.2913,4596
Reversed,100,MSD_RadixQuickSort,0.014,2630
Reversed,200,Standard_QuickSort,0.0538,51408
Reversed,200,Standard_MergeSort,0.1041,8032
Reversed,200,String_QuickSort,0.0135,6362
Reversed,200,String_MergeSort,0.2108,4583
Reversed,200,MSD_RadixSort,0.3337,8526
Reversed,200,MSD_RadixQuickSort,0.0261,5308
Reversed,300,Standard_QuickSort,0.1009,98345
Reversed,300,Standard_MergeSort,0.1029,11110
Reversed,300,String_QuickSort,0.0234,9672
Reversed,300,String_MergeSort,0.3218,6146
Reversed,300,MSD_RadixSort,0.3246,10712
Reversed,300,MSD_RadixQuickSort,0.0557,7661
Reversed,400,Standard_QuickSort,0.1764,162547
Reversed,400,Standard_MergeSort,0.1483,15429
Reversed,400,String_QuickSort,0.0223,12405
Reversed,400,String_MergeSort,0.4018,8067
Reversed,400,MSD_RadixSort,0.3495,13588
Reversed,400,MSD_RadixQuickSort,0.0506,10514
Reversed,500,Standard_QuickSort,0.2934,254246
Reversed,500,Standard_MergeSort,0.2552,23037
Reversed,500,String_QuickSort,0.0299,17151
Reversed,500,String_MergeSort,0.6044,10750
Reversed,500,MSD_RadixSort,0.4582,18368
Reversed,500,MSD_RadixQuickSort,0.0762,14751
Reversed,600,Standard_QuickSort,0.4078,368116
Reversed,600,Standard_MergeSort,0.2397,28754
Reversed,600,String_QuickSort,0.0388,20866
Reversed,600,String_MergeSort,0.6916,13368
Reversed,600,MSD_RadixSort,0.5065,22484
Reversed,600,MSD_RadixQuickSort,0.0781,18936
Reversed,700,Standard_QuickSort,0.4899,472291
Reversed,700,Standard_MergeSort,0.2877,31722
Reversed,700,String_QuickSort,0.0432,24845
Reversed,700,String_MergeSort,0.8154,14485
Reversed,700,MSD_RadixSort,0.5413,23586
Reversed,700,MSD_RadixQuickSort,0.1147,22242
Reversed,800,Standard_QuickSort,0.6713,654752
Reversed,800,Standard_MergeSort,0.3723,43307
Reversed,800,String_QuickSort,0.05,28694
Reversed,800,String_MergeSort,0.9314,18658
Reversed,800,MSD_RadixSort,0.638,31138
Reversed,800,MSD_RadixQuickSort,0.1262,28764
Reversed,900,Standard_QuickSort,0.8029,777552
Reversed,900,Standard_MergeSort,0.4114,45536
Reversed,900,String_QuickSort,0.0577,33663
Reversed,900,String_MergeSort,0.991,19351
Reversed,900,MSD_RadixSort,0.6099,31646
Reversed,900,MSD_RadixQuickSort,0.1368,32380
Reversed,1000,Standard_QuickSort,1.0025,1045070
Reversed,1000,Standard_MergeSort,0.4652,63006
Reversed,1000,String_QuickSort,0.0738,42775
Reversed,1000,String_MergeSort,1.1742,24687
Reversed,1000,MSD_RadixSort,0.8734,42178
Reversed,1000,MSD_RadixQuickSort,0.1795,40348
Reversed,1100,Standard_QuickSort,1.2367,1338622
Reversed,1100,Standard_MergeSort,0.5205,80897
Reversed,1100,String_QuickSort,0.0892,49330
Reversed,1100,String_MergeSort,1.2793,30283
Reversed,1100,MSD_RadixSort,0.9091,52088
Reversed,1100,MSD_RadixQuickSort,0.2184,48582
Reversed,1200,Standard_QuickSort,1.4559,1349449
Reversed,1200,Standard_MergeSort,0.5788,62981
Reversed,1200,String_QuickSort,0.0796,46587
Reversed,1200,String_MergeSort,1.5033,25252
Reversed,1200,MSD_RadixSort,0.8856,40650
Reversed,1200,MSD_RadixQuickSort,0.3141,45412
Reversed,1300,Standard_QuickSort,1.6706,1650005
Reversed,1300,Standard_MergeSort,0.6439,76177
Reversed,1300,String_QuickSort,0.0994,53143
Reversed,1300,String_MergeSort,1.6724,29876
Reversed,1300,MSD_RadixSort,0.9973,49148
Reversed,1300,MSD_RadixQuickSort,0.2386,51243
Reversed,1400,Standard_QuickSort,2.0657,1888636
Reversed,1400,Standard_MergeSort,0.6996,76853
Reversed,1400,String_QuickSort,0.1077,57798
Reversed,1400,String_MergeSort,1.7772,30528
Reversed,1400,MSD_RadixSort,1.0378,50026
Reversed,1400,MSD_RadixQuickSort,0.4704,51908
Reversed,1500,Standard_QuickSort,2.2077,2059461
Reversed,1500,Standard_MergeSort,0.8193,80520
Reversed,1500,String_QuickSort,0.1226,63178
Reversed,1500,String_MergeSort,1.9387,31039
Reversed,1500,MSD_RadixSort,1.0856,49876
Reversed,1500,MSD_RadixQuickSort,0.5687,53773
Reversed,1600,Standard_QuickSort,2.5853,2366943
Reversed,1600,Standard_MergeSort,0.7828,91121
Reversed,1600,String_QuickSort,0.1281,71401
Reversed,1600,String_MergeSort,1.987,34473
Reversed,1600,MSD_RadixSort,1.0706,55940
Reversed,1600,MSD_RadixQuickSort,0.7201,56090
Reversed,1700,Standard_QuickSort,2.8077,2630780
Reversed,1700,Standard_MergeSort,0.8954,92809
Reversed,1700,String_QuickSort,0.1281,74397
Reversed,1700,String_MergeSort,2.1061,35099
Reversed,1700,MSD_RadixSort,1.1458,56802
Reversed,1700,MSD_RadixQuickSort,0.8612,57099
Reversed,1800,Standard_QuickSort,3.2117,2908554
Reversed,1800,Standard_MergeSort,0.9702,96924
Reversed,1800,String_QuickSort,0.1451,76676
Reversed,1800,String_MergeSort,2.3615,36429
Reversed,1800,MSD_RadixSort,1.2666,59052
Reversed,1800,MSD_RadixQuickSort,0.8433,58904
Reversed,1900,Standard_QuickSort,3.7975,3614077
Reversed,1900,Standard_MergeSort,0.9842,130335
Reversed,1900,String_QuickSort,0.175,89379
Reversed,1900,String_MergeSort,2.5097,45168
Reversed,1900,MSD_RadixSort,1.362,76274
Reversed,1900,MSD_RadixQuickSort,1.0155,75550
Reversed,2000,Standard_QuickSort,4.1101,3866084
Reversed,2000,Standard_MergeSort,1.0055,133138
Reversed,2000,String_QuickSort,0.176,88443
Reversed,2000,String_MergeSort,2.6199,45227
Reversed,2000,MSD_RadixSort,1.4949,75720
Reversed,2000,MSD_RadixQuickSort,1.0756,75009
Reversed,2100,Standard_QuickSort,4.5498,4310358
Reversed,2100,Standard_MergeSort,1.137,147198
Reversed,2100,String_QuickSort,0.1861,97760
Reversed,2100,String_MergeSort,2.7832,49114
Reversed,2100,MSD_RadixSort,1.5354,83202
Reversed,2100,MSD_RadixQuickSort,1.098,82410
Reversed,2200,Standard_QuickSort,5.0653,4935958
Reversed,2200,Standard_MergeSort,1.1858,162582
Reversed,2200,String_QuickSort,0.1899,106375
Reversed,2200,String_MergeSort,2.6586,54639
Reversed,2200,MSD_RadixSort,1.5497,93200
Reversed,2200,MSD_RadixQuickSort,1.1193,92420
Reversed,2300,Standard_QuickSort,4.7215,4861058
Reversed,2300,Standard_MergeSort,1.0858,138220
Reversed,2300,String_QuickSort,0.1753,104603
Reversed,2300,String_MergeSort,2.7052,48081
Reversed,2300,MSD_RadixSort,1.4129,79176
Reversed,2300,MSD_RadixQuickSort,0.9942,78367
Reversed,2400,Standard_QuickSort,5.4986,6021039
Reversed,2400,Standard_MergeSort,1.132,190165
Reversed,2400,String_QuickSort,0.1975,120784
Reversed,2400,String_MergeSort,2.8725,63354
Reversed,2400,MSD_RadixSort,1.7041,108456
Reversed,2400,MSD_RadixQuickSort,1.2634,107641
Reversed,2500,Standard_QuickSort,5.696,5914301
Reversed,2500,Standard_MergeSort,1.1841,161791
Reversed,2500,String_QuickSort,0.1876,113309
Reversed,2500,String_MergeSort,2.9511,55079
Reversed,2500,MSD_RadixSort,1.5789,91000
Reversed,2500,MSD_RadixQuickSort,1.1107,90245
Reversed,2600,Standard_QuickSort,6.17,6537402
Reversed,2600,Standard_MergeSort,1.2412,176853
Reversed,2600,String_QuickSort,0.2102,127076
Reversed,2600,String_MergeSort,3.1675,59759
Reversed,2600,MSD_RadixSort,1.8565,99894
Reversed,2600,MSD_RadixQuickSort,1.2776,99031
Reversed,2700,Standard_QuickSort,7.0708,6566216
Reversed,2700,Standard_MergeSort,1.4019,161260
Reversed,2700,String_QuickSort,0.2295,125986
Reversed,2700,String_MergeSort,3.44,55511
Reversed,2700,MSD_RadixSort,1.6921,90472
Reversed,2700,MSD_RadixQuickSort,1.1386,89770
Reversed,2800,Standard_QuickSort,8.1021,7964528
Reversed,2800,Standard_MergeSort,1.535,214105
Reversed,2800,String_QuickSort,0.2878,152477
Reversed,2800,String_MergeSort,3.9714,70758
Reversed,2800,MSD_RadixSort,2.1922,120724
Reversed,2800,MSD_RadixQuickSort,1.563,120038
Reversed,2900,Standard_QuickSort,9.302,8618232
Reversed,2900,Standard_MergeSort,1.6838,223893
Reversed,2900,String_QuickSort,0.2873,159817
Reversed,2900,String_MergeSort,4.0381,73860
Reversed,2900,MSD_RadixSort,2.1746,126572
Reversed,2900,MSD_RadixQuickSort,1.632,125927
Reversed,3000,Standard_QuickSort,9.3081,8676342
Reversed,3000,Standard_MergeSort,1.6811,216029
Reversed,3000,String_QuickSort,0.2981,153466
Reversed,3000,String_MergeSort,4.1729,70368
Reversed,3000,MSD_RadixSort,2.1212,118688
Reversed,3000,MSD_RadixQuickSort,1.5355,118067
NearlySorted,100,Standard_QuickSort,0.0133,14755
NearlySorted,100,Standard_MergeSort,0.0261,2942
NearlySorted,100,String_QuickSort,0.0057,2457
NearlySorted,100,String_MergeSort,0.082,1853
NearlySorted,100,MSD_RadixSort,0.2542,3564
NearlySorted,100,MSD_RadixQuickSort,0.0112,2028
NearlySorted,200,Standard_QuickSort,0.0343,43018
NearlySorted,200,Standard_MergeSort,0.0562,8053
NearlySorted,200,String_QuickSort,0.0086,4713
NearlySorted,200,String_MergeSort,0.1927,3796
NearlySorted,200,MSD_RadixSort,0.2502,6402
NearlySorted,200,MSD_RadixQuickSort,0.0212,3930
NearlySorted,300,Standard_QuickSort,0.0822,90737
NearlySorted,300,Standard_MergeSort,0.0899,16972
NearlySorted,300,String_QuickSort,0.015,8826
NearlySorted,300,String_MergeSort,0.3135,7220
NearlySorted,300,MSD_RadixSort,0.3555,12534
NearlySorted,300,MSD_RadixQuickSort,0.0319,7536
NearlySorted,400,Standard_QuickSort,0.1402,142552
NearlySorted,400,Standard_MergeSort,0.1518,20812
NearlySorted,400,String_QuickSort,0.022,11509
NearlySorted,400,String_MergeSort,0.4186,7966
NearlySorted,400,MSD_RadixSort,0.353,12852
NearlySorted,400,MSD_RadixQuickSort,0.0408,8506
NearlySorted,500,Standard_QuickSort,0.1473,195927
NearlySorted,500,Standard_MergeSort,0.1869,28319
NearlySorted,500,String_QuickSort,0.0279,15733
NearlySorted,500,String_MergeSort,0.4941,11438
NearlySorted,500,MSD_RadixSort,0.4305,18816
NearlySorted,500,MSD_RadixQuickSort,0.052,12140
NearlySorted,600,Standard_QuickSort,0.2256,298779
NearlySorted,600,Standard_MergeSort,0.237,38281
NearlySorted,600,String_QuickSort,0.0334,19615
NearlySorted,600,String_MergeSort,0.6231,13835
NearlySorted,600,MSD_RadixSort,0.4609,23010
NearlySorted,600,MSD_RadixQuickSort,0.0744,15081
NearlySorted,700,Standard_QuickSort,0.2749,360735
NearlySorted,700,Standard_MergeSort,0.2694,47445
NearlySorted,700,String_QuickSort,0.0403,22469
NearlySorted,700,String_MergeSort,0.727,16194
NearlySorted,700,MSD_RadixSort,0.5695,27100
NearlySorted,700,MSD_RadixQuickSort,0.0856,18060
NearlySorted,800,Standard_QuickSort,0.414,487177
NearlySorted,800,Standard_MergeSort,0.3276,55109
NearlySorted,800,String_QuickSort,0.0459,26399
NearlySorted,800,String_MergeSort,0.8767,18659
NearlySorted,800,MSD_RadixSort,0.6032,30726
NearlySorted,800,MSD_RadixQuickSort,0.1184,20873
NearlySorted,900,Standard_QuickSort,0.3679,486561
NearlySorted,900,Standard_MergeSort,0.3854,53414
NearlySorted,900,String_QuickSort,0.0464,25872
NearlySorted,900,String_MergeSort,1.0127,18373
NearlySorted,900,MSD_RadixSort,0.5736,29118
NearlySorted,900,MSD_RadixQuickSort,0.1264,21201
NearlySorted,1000,Standard_QuickSort,0.5594,693316
NearlySorted,1000,Standard_MergeSort,0.4473,69421
NearlySorted,1000,String_QuickSort,0.0603,34209
NearlySorted,1000,String_MergeSort,1.1269,24226
NearlySorted,1000,MSD_RadixSort,0.7179,40156
NearlySorted,1000,MSD_RadixQuickSort,0.1217,27577
NearlySorted,1100,Standard_QuickSort,0.7455,924770
NearlySorted,1100,Standard_MergeSort,0.4881,78587
NearlySorted,1100,String_QuickSort,0.0597,36191
NearlySorted,1100,String_MergeSort,1.2752,25330
NearlySorted,1100,MSD_RadixSort,0.7406,41710
NearlySorted,1100,MSD_RadixQuickSort,0.1395,29570
NearlySorted,1200,Standard_QuickSort,0.9565,1045278
NearlySorted,1200,Standard_MergeSort,0.5627,89443
NearlySorted,1200,String_QuickSort,0.0676,38459
NearlySorted,1200,String_MergeSort,1.4585,28353
NearlySorted,1200,MSD_RadixSort,0.8486,46908
NearlySorted,1200,MSD_RadixQuickSort,0.1489,33835
NearlySorted,1300,Standard_QuickSort,0.9206,1101544
NearlySorted,1300,Standard_MergeSort,0.6691,98368
NearlySorted,1300,String_QuickSort,0.0829,43369
NearlySorted,1300,String_MergeSort,1.626,30618
NearlySorted,1300,MSD_RadixSort,0.9642,50636
NearlySorted,1300,MSD_RadixQuickSort,0.2573,38732
NearlySorted,1400,Standard_QuickSort,0.9666,1245049
NearlySorted,1400,Standard_MergeSort,0.6019,98554
NearlySorted,1400,String_QuickSort,0.0722,43257
NearlySorted,1400,String_MergeSort,1.7485,30689
NearlySorted,1400,MSD_RadixSort,0.9939,50036
NearlySorted,1400,MSD_RadixQuickSort,0.3438,40589
NearlySorted,1500,Standard_QuickSort,1.1397,1428968
NearlySorted,1500,Standard_MergeSort,0.6172,112640
NearlySorted,1500,String_QuickSort,0.1003,51567
NearlySorted,1500,String_MergeSort,1.9502,34070
NearlySorted,1500,MSD_RadixSort,1.0706,55782
NearlySorted,1500,MSD_RadixQuickSort,0.5011,49438
NearlySorted,1600,Standard_QuickSort,1.2324,1617918
NearlySorted,1600,Standard_MergeSort,0.8311,129919
NearlySorted,1600,String_QuickSort,0.0993,54919
NearlySorted,1600,String_MergeSort,1.9869,38623
NearlySorted,1600,MSD_RadixSort,1.1914,65022
NearlySorted,1600,MSD_RadixQuickSort,0.6424,59061
NearlySorted,1700,Standard_QuickSort,1.4508,1767959
NearlySorted,1700,Standard_MergeSort,0.7261,128324
NearlySorted,1700,String_QuickSort,0.1139,57908
NearlySorted,1700,String_MergeSort,2.224,38002
NearlySorted,1700,MSD_RadixSort,1.1604,62178
NearlySorted,1700,MSD_RadixQuickSort,0.8436,61028
NearlySorted,1800,Standard_QuickSort,2.1343,2299466
NearlySorted,1800,Standard_MergeSort,0.8192,145183
NearlySorted,1800,String_QuickSort,0.1256,61434
NearlySorted,1800,String_MergeSort,2.3427,42896
NearlySorted,1800,MSD_RadixSort,1.1962,70548
NearlySorted,1800,MSD_RadixQuickSort,0.902,69717
NearlySorted,1900,Standard_QuickSort,1.9309,2501417
NearlySorted,1900,Standard_MergeSort,0.9333,168724
NearlySorted,1900,String_QuickSort,0.1458,71216
NearlySorted,1900,String_MergeSort,2.5009,49428
NearlySorted,1900,MSD_RadixSort,1.4891,83744
NearlySorted,1900,MSD_RadixQuickSort,1.0737,82333
NearlySorted,2000,Standard_QuickSort,2.0938,2542369
NearlySorted,2000,Standard_MergeSort,0.87,163191
NearlySorted,2000,String_QuickSort,0.1362,72840
NearlySorted,2000,String_MergeSort,2.5458,49598
NearlySorted,2000,MSD_RadixSort,1.5978,83298
NearlySorted,2000,MSD_RadixQuickSort,1.1661,82355
NearlySorted,2100,Standard_QuickSort,2.0793,2724310
NearlySorted,2100,Standard_MergeSort,0.9641,160125
NearlySorted,2100,String_QuickSort,0.1392,73030
NearlySorted,2100,String_MergeSort,2.6838,48325
NearlySorted,2100,MSD_RadixSort,1.4298,80354
NearlySorted,2100,MSD_RadixQuickSort,0.985,79364
NearlySorted,2200,Standard_QuickSort,2.0125,2866389
NearlySorted,2200,Standard_MergeSort,1.0852,167798
NearlySorted,2200,String_QuickSort,0.1572,76881
NearlySorted,2200,String_MergeSort,2.7966,49324
NearlySorted,2200,MSD_RadixSort,1.4509,80902
NearlySorted,2200,MSD_RadixQuickSort,1.0578,79943
NearlySorted,2300,Standard_QuickSort,2.2086,3032550
NearlySorted,2300,Standard_MergeSort,1.0556,189085
NearlySorted,2300,String_QuickSort,0.15,79087
NearlySorted,2300,String_MergeSort,3.0688,53025
NearlySorted,2300,MSD_RadixSort,1.5957,88406
NearlySorted,2300,MSD_RadixQuickSort,1.2929,87432
NearlySorted,2400,Standard_QuickSort,3.1657,3790947
NearlySorted,2400,Standard_MergeSort,1.049,184823
NearlySorted,2400,String_QuickSort,0.1535,80246
NearlySorted,2400,String_MergeSort,3.0098,51759
NearlySorted,2400,MSD_RadixSort,1.6084,85240
NearlySorted,2400,MSD_RadixQuickSort,1.0361,84219
NearlySorted,2500,Standard_QuickSort,3.0721,4053314
NearlySorted,2500,Standard_MergeSort,1.0933,201358
NearlySorted,2500,String_QuickSort,0.1537,87317
NearlySorted,2500,String_MergeSort,2.9602,56214
NearlySorted,2500,MSD_RadixSort,1.5155,93772
NearlySorted,2500,MSD_RadixQuickSort,1.0545,92710
NearlySorted,2600,Standard_QuickSort,3.4892,4540227
NearlySorted,2600,Standard_MergeSort,1.1219,222741
NearlySorted,2600,String_QuickSort,0.1526,88833
NearlySorted,2600,String_MergeSort,3.1313,61676
NearlySorted,2600,MSD_RadixSort,1.6766,104532
NearlySorted,2600,MSD_RadixQuickSort,1.1906,103437
NearlySorted,2700,Standard_QuickSort,2.2946,3667720
NearlySorted,2700,Standard_MergeSort,1.2047,214880
NearlySorted,2700,String_QuickSort,0.164,92788
NearlySorted,2700,String_MergeSort,3.2615,58016
NearlySorted,2700,MSD_RadixSort,1.6208,96120
NearlySorted,2700,MSD_RadixQuickSort,1.1168,94984
NearlySorted,2800,Standard_QuickSort,5.2033,6145241
NearlySorted,2800,Standard_MergeSort,1.2168,253832
NearlySorted,2800,String_QuickSort,0.1698,99541
NearlySorted,2800,String_MergeSort,3.3681,66916
NearlySorted,2800,MSD_RadixSort,1.7895,113962
NearlySorted,2800,MSD_RadixQuickSort,1.2763,112846
NearlySorted,2900,Standard_QuickSort,3.2072,4976557
NearlySorted,2900,Standard_MergeSort,1.2408,257623
NearlySorted,2900,String_QuickSort,0.1877,108606
NearlySorted,2900,String_MergeSort,3.4852,68627
NearlySorted,2900,MSD_RadixSort,1.8738,115988
NearlySorted,2900,MSD_RadixQuickSort,1.3921,114880
NearlySorted,3000,Standard_QuickSort,5.1651,5899289
NearlySorted,3000,Standard_MergeSort,1.339,236161
NearlySorted,3000,String_QuickSort,0.1847,104708
NearlySorted,3000,String_MergeSort,3.8096,64419
NearlySorted,3000,MSD_RadixSort,1.9376,107422
NearlySorted,3000,MSD_RadixQuickSort,1.3056,106286
